USWTDB_ID,Longitude,Latitude,Plant_Code
Chanarambie,-96.04859200000,44.00672100000,56142
Seiling,-99.03160100000,36.14020500000,59311
Chanarambie,-96.03243300000,43.99806200000,56142
Seiling,-99.01562500000,36.09077500000,59311
Chanarambie,-96.01474000000,43.98529400000,56142
Seiling,-98.87101000000,36.09853400000,59311
Chanarambie,-96.01586200000,43.98297100000,56142
Seiling,-99.06488000000,36.07501200000,59311
Chanarambie,-96.04949200000,44.01488900000,56142
Seiling,-99.00627900000,36.09255200000,59311
Chanarambie,-96.06334700000,44.04247300000,56142
Seiling,-98.90994300000,36.09848400000,59311
Chanarambie,-96.01468700000,43.98030900000,56142
Seiling,-98.86214400000,36.09624500000,59311
Chanarambie,-96.04545600000,44.02177800000,56142
Seiling,-99.03894800000,36.11243400000,59311
Chanarambie,-96.02790100000,43.99531900000,56142
Seiling,-98.95249900000,36.09827400000,59311
Chanarambie,-95.99033400000,43.98043800000,56142
Seiling,-98.99906200000,36.09527200000,59311
Chanarambie,-96.03701800000,44.01606800000,56142
Seiling,-99.00711800000,36.11790500000,59311
Chanarambie,-96.06041700000,44.04011200000,56142
Seiling,-98.87437400000,36.09981500000,59311
Chanarambie,-96.06022600000,44.03508400000,56142
Seiling,-98.98328400000,36.10665500000,59311
Chanarambie,-96.05979200000,44.01194000000,56142
Seiling,-98.94017800000,36.09807200000,59311
Chanarambie,-96.05289500000,44.01395400000,56142
Seiling,-99.04950000000,36.07744200000,59311
Chanarambie,-96.05110900000,43.99614000000,56142
Seiling,-99.01704400000,36.10305400000,59311
Chanarambie,-96.05535100000,44.00164000000,56142
Seiling,-99.02345300000,36.07845300000,59311
Chanarambie,-96.05289500000,44.00510400000,56142
Seiling,-98.93576000000,36.09112500000,59311
Chanarambie,-96.05510700000,44.01839100000,56142
Seiling,-99.02464300000,36.10588500000,59311
Chanarambie,-96.03961200000,44.00061000000,56142
Seiling,-98.97945400000,36.11340300000,59311
Chanarambie,-96.02546700000,43.99446500000,56142
Seiling,-99.06033300000,36.13327400000,59311
Chanarambie,-96.04550900000,44.02829000000,56142
Seiling,-99.01697500000,36.08371400000,59311
Chanarambie,-96.04126700000,44.00597800000,56142
